"","male","age","educ6","ownhome","income","micro_service","micro_english","micro_afraid","micro_honest","micro_namecall","micro_harassed","micro_pronounce","micro_stem","micro_creative","discrim_promotion","discrim_fired","discrim_hired","discrim_police","discrim_housing","discrim_neighbor","id_asianam","id_ethnic","id_ethnicam","id_asian","id_american","id2_asianam","id2_ethnic","id2_ethnicam","id2_asian","id2_american","linkedfate_race","linkedfate_ethnic","commrace","commcult","commecon","commpol","inequality","bank_reg","minimum_wage","rich_tax","american_job","free_college","race","democrat","republican","states","forborn","citizen","respid"
"1",0,0.560975609756098,0.6,0,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,1,0.75,0.75,"AAPI",0,0,"HI",0,1,800000443
"2",0,0.341463414634146,0.4,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,1,1,1,1,1,1,0.75,1,0,0.75,"AAPI",1,0,"CA",0,1,650000095
"3",1,0.463414634146341,0.4,1,0.833333333333333,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0,0.5,0.5,0,"AAPI",0,0,"HI",0,1,600000519
"4",1,0.634146341463415,1,1,0.333333333333333,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,1,1,1,1,"AAPI",0,0,"HI",0,1,850000172
"5",0,0.621951219512195,1,1,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.75,0.75,1,1,0.25,0.75,"AAPI",1,0,"HI",0,1,600000539
"6",1,0.74390243902439,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1,1,1,1,0,1,1,0.25,0,0,"AAPI",0,1,"HI",1,1,800000553
"7",0,0.51219512195122,0.8,1,0.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.75,0.75,1,1,0.25,0.75,"AAPI",1,0,"HI",0,1,800000709
"8",0,0.597560975609756,0.8,1,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,1,1,0.75,0,0.75,"AAPI",0,0,"HI",0,1,800000362
"9",0,0.109756097560976,0.4,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,1,1,1,0,0.75,1,0.75,1,0,0.75,"AAPI",0,0,"HI",0,1,800000289
"10",1,0.658536585365854,0.4,1,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.75,1,0.75,0.75,0,0.5,"AAPI",1,0,"HI",0,1,600000427
