"","male","age","educ6","ownhome","income","micro_service","micro_english","micro_afraid","micro_honest","micro_namecall","micro_harassed","micro_pronounce","micro_stem","micro_creative","discrim_promotion","discrim_fired","discrim_hired","discrim_police","discrim_housing","discrim_neighbor","id_asianam","id_ethnic","id_ethnicam","id_asian","id_american","id2_asianam","id2_ethnic","id2_ethnicam","id2_asian","id2_american","linkedfate_race","linkedfate_ethnic","commrace","commcult","commecon","commpol","inequality","bank_reg","minimum_wage","rich_tax","american_job","free_college","respid","race","democrat","republican","states","forborn","citizen"
"2154",0,0.134146341463415,0.4,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,1,1,0.25,0.75,"1200000117","AAPI","0","0","MI","1","1"
"2155",0,0.475609756097561,0.4,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1300000307","AAPI","1","0","NY","1","1"
"2156",1,0.0609756097560976,0.6,1,NA,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,"1250000233","AAPI","0","0","NY","0","1"
"2157",0,0.292682926829268,0.8,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.333333333333333,0.666666666666667,1,1,1,1,1,1,1,1,0,1,"1200000029","AAPI","1","0","NJ","1","1"
"2158",0,0.378048780487805,0.4,0,0.166666666666667,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0.25,1,1,0,"1200000225","AAPI","1","0","NY","1","1"
"2159",0,0.146341463414634,0.8,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,"1250000256","AAPI","1","0","IN","0","1"
"2160",1,0.0365853658536585,0.6,1,0.5,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0.75,1,0.5,0.75,0.25,1,"1250000445","AAPI","1","0","NY","1","1"
"2161",0,0.0975609756097561,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.666666666666667,0,1,1,1,1,0.75,0.75,1,0.75,0,0.75,"1250000192","AAPI","0","0","NY","1","1"
"2162",1,0.48780487804878,0.6,0,0.166666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.666666666666667,0.666666666666667,1,1,1,1,0.75,0.75,0.75,0.75,NA,1,"1200000100","AAPI","1","0","NY","1","1"
"2163",0,0.524390243902439,0.8,1,0.166666666666667,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.666666666666667,0.666666666666667,0,0,1,1,1,0.75,1,1,0.25,0.75,"1200000264","AAPI","1","0","NY","1","1"
"2164",0,0.195121951219512,0.8,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,"1250000374","AAPI","1","0","GA","0","1"
"2165",0,0.109756097560976,0.8,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.666666666666667,0,0,NA,0,0.5,0.5,0.5,0.5,0.5,0.5,"1300000085","AAPI","0","0","VA","1","0"
"2166",0,0.329268292682927,0.8,1,0.166666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.75,NA,1,0.75,0.25,0.75,"1200000183","AAPI","1","0","NY","1","1"
"2167",1,0.536585365853659,0.8,1,0.833333333333333,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.666666666666667,0.666666666666667,0,1,1,0,1,1,0.5,1,0.5,0.5,"1200000037","AAPI","0","0","TX","1","1"
"2168",1,0.585365853658537,1,1,0.166666666666667,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,"1200000176","AAPI","0","0","TN","1","1"
"2169",1,0.536585365853659,0.8,0,NA,0,0,0,0,0,0,1,NA,NA,0,0,0,0,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0.25,NA,1,NA,1,1,"1250000013","AAPI","0","0","NY","1","1"
"2170",1,0.231707317073171,0.6,1,0.833333333333333,1,0,1,1,1,1,0,1,1,1,1,NA,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0.5,1,1,0,1,"1200000133","AAPI","0","0","CA","0","1"
"2171",0,0.134146341463415,1,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,"1250000008","AAPI","0","0","NY","1","0"
"2172",1,0.024390243902439,0.6,NA,NA,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,"1200000240","AAPI","1","0","NY","1","1"
"2173",1,0.536585365853659,0.8,0,0.166666666666667,0,0,1,0,0,0,1,NA,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0.25,1,0.75,1,0,0,"1200000252","AAPI","0","0","NY","1","1"
"2174",0,0,0.2,1,0.5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,1,1,1,1,1,0.75,0.75,1,0,0.75,"1200000174","AAPI","0","0","NV","0","1"
"2175",0,0.378048780487805,0.2,1,0,NA,1,1,NA,0,0,1,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,0,1,"1200000220","AAPI","0","0","MI","1","1"
"2176",1,0.292682926829268,0.8,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0.666666666666667,0,1,1,1,0,1,1,1,1,0,1,"1250000278","AAPI","1","0","NY","1","1"
"2177",0,0.317073170731707,1,1,0.833333333333333,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,1,1,1,1,1,1,0.5,1,"1250000346","AAPI","1","0","NY","0","1"
"2178",0,0.195121951219512,0.2,1,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,NA,0,0.5,0.5,1,0.75,0.5,1,"1250000373","AAPI","0","0","NY","1","1"
"2179",1,0.804878048780488,1,1,1,0,0,0,0,1,0,1,NA,NA,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,0,1,1,0.25,1,1,1,"1200000243","AAPI","0","0","VA","1","1"
"2180",1,0.292682926829268,1,1,0.666666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.666666666666667,1,0,1,0,1,0.75,1,1,1,1,1,"1250000371","AAPI","1","0","AZ","1","1"
"2181",1,0.51219512195122,0.8,0,0.166666666666667,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0.25,1,1,0,1,"1200000135","AAPI","1","0","CA","1","1"
"2182",1,0.475609756097561,0.8,1,0.166666666666667,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0.75,0.75,0.75,0.75,"1250000330","AAPI","1","0","FL","1","1"
"2183",1,0.134146341463415,0.4,0,0.166666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.666666666666667,0,0,0,0,1,1,1,1,0,1,"1250000384","AAPI","1","0","NY","0","1"
"2184",1,0.231707317073171,1,0,0.166666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0.5,1,1,1,0.25,0.75,"1250000348","AAPI","0","0","NY","1","1"
"2185",1,0.5,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0.5,1,1,0,1,"1250000345","AAPI","0","0","MI","1","1"
"2186",0,0.0365853658536585,0.4,0,0.166666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.666666666666667,0.666666666666667,1,1,1,0,1,1,1,1,0.25,1,"1250000360","AAPI","1","0","NY","1","1"
"2187",0,0.402439024390244,0.8,1,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA,1,1,1,1,1,0,1,"1200000291","AAPI","1","0","CA","1","1"
"2188",0,0.0487804878048781,0.8,0,0.833333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,NA,1,1,1,1,1,0.5,1,"1250000318","AAPI","1","0","AZ","0","1"
"2189",1,0.0975609756097561,0.8,0,0.166666666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0.666666666666667,0,1,1,0,0.75,1,1,0.75,0,1,"1250000212","AAPI","0","0","CT","0","1"
"2190",1,NA,0.8,NA,NA,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,0.75,0.75,1,0.75,0,1,"1250000385","AAPI","0","0","FL","1","1"
"2191",1,0.158536585365854,0.8,0,NA,NA,0,0,0,NA,0,1,1,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0.75,0.75,NA,0.75,0,NA,"1250000015","AAPI","1","0","NY","1","1"
"2192",0,0.134146341463415,0.8,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.666666666666667,0,0,0,0,0,1,0.75,0.75,0.25,0,0.75,"1250000133","AAPI","0","0","NJ","0","1"
"2193",1,0.24390243902439,1,1,0.833333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0.75,1,1,1,0.75,1,"1250000246","AAPI","1","0","NY","1","1"
"2194",1,0.621951219512195,0.8,1,0.166666666666667,0,1,0,NA,0,0,1,1,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0.25,0,0.75,"1200000231","AAPI","0","0","NY","1","1"
"2195",0,0.341463414634146,1,0,NA,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,"1200000296","AAPI","0","0","NY","1","1"
"2196",1,0.317073170731707,0.8,1,0.833333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,"1250000168","AAPI","1","0","CA","1","1"
"2197",1,0.475609756097561,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.666666666666667,0.666666666666667,1,1,1,1,1,0.5,0.75,0.75,0.5,0.75,"1200000028","AAPI","0","0","TX","1","1"
"2198",0,0.426829268292683,1,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,0,0,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,0.25,NA,0.25,"1250000302","AAPI","0","0","NY","1","1"
"2199",1,0.292682926829268,1,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.666666666666667,0,0,0,0,1,1,1,1,0,1,"1250000418","AAPI","0","0","CA","1","1"
"2200",1,0.182926829268293,1,0,0.166666666666667,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0.75,0.75,0.75,1,0,1,"1350000371","AAPI","0","0","KS","1","1"
"2201",0,0,0.8,0,0.166666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.666666666666667,1,0,1,0,1,0.75,1,0.75,NA,1,"1250000072","AAPI","1","0","NY","0","1"
"2202",0,0.292682926829268,0.8,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1200000301","AAPI","0","0","NJ","1","0"
"2203",1,NA,0.8,NA,NA,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0.25,0,1,0.75,0.75,1,"1250000062","AAPI","1","0","NY","1","0"
"2204",0,0.195121951219512,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.666666666666667,1,0,0,1,1,1,0.5,1,1,0,0.75,"1200000159","AAPI","0","1","NY","1","1"
"2205",1,0.414634146341463,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,"1300000218","AAPI","1","0","NY","1","1"
"2206",1,0.548780487804878,1,1,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.666666666666667,0.666666666666667,0,1,0,NA,1,1,1,1,0.25,1,"1250000195","AAPI","1","0","NM","1","1"
"2207",1,0.0731707317073171,0.8,0,0.333333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,"1250000084","AAPI","0","1","MD","0","1"
"2208",1,0.0121951219512195,0.6,1,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.666666666666667,0,1,0,1,0,0.75,0.75,1,1,0,0.75,"1250000381","AAPI","0","0","NY","0","1"
"2209",1,0.317073170731707,1,1,0.833333333333333,0,0,0,0,0,0,1,1,1,1,0,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,0.666666666666667,1,0,1,1,1,1,1,1,1,0,1,"1250000323","AAPI","0","0","MN","1","1"
"2210",0,0.024390243902439,0.6,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,"1250000349","AAPI","1","0","NY","1","1"
"2211",1,0.573170731707317,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0.75,"1200000234","AAPI","1","0","NY","1","1"
"2212",0,0.0121951219512195,0.6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.333333333333333,0,0,0,1,1,1,1,1,1,0.5,1,"1200000013","AAPI","1","0","NY","0","1"
"2213",1,0.146341463414634,0.8,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0.75,0.75,1,"1200000079","AAPI","1","0","NY","1","1"
"2214",0,0.317073170731707,0.8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,NA,1,NA,NA,1,1,1,0.75,0,1,"1200000134","AAPI","1","0","CA","1","1"
"2215",1,0.341463414634146,0.6,0,0.166666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.666666666666667,0,0,1,0,1,1,1,1,1,0,1,"1200000172","AAPI","1","0","NY","1","1"
"2216",0,0.219512195121951,0.6,1,0.166666666666667,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.666666666666667,0.666666666666667,0,0,0,0,0.75,0.75,1,1,0.75,0.75,"1350000310","AAPI","1","0","PA","1","1"
"2217",0,0.0609756097560976,0.4,1,0.333333333333333,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.666666666666667,0.666666666666667,1,1,1,NA,1,0.5,1,1,0,1,"1200000030","AAPI","1","0","NY","0","1"
"2218",1,0.195121951219512,0.8,1,0.666666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.666666666666667,0.666666666666667,1,1,1,1,1,1,1,1,0.25,1,"1250000213","AAPI","0","0","IA","1","1"
"2219",1,0.121951219512195,0.8,0,0.333333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0.75,1,1,1,0,1,"1250000276","AAPI","0","0","NY","1","1"
"2220",0,0.48780487804878,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.666666666666667,1,0,0,1,1,1,1,1,1,0.25,0.75,"1300000239","AAPI","1","0","CA","1","1"
"2221",1,0.414634146341463,1,1,0.833333333333333,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,NA,0,1,1,1,1,1,1,"1200000178","AAPI","1","0","AZ","1","1"
"2222",1,0.0365853658536585,0.4,1,0.166666666666667,NA,0,0,NA,0,0,1,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,NA,1,0.75,1,1,1,0.25,1,"1250000031","AAPI","1","0","NY","0","1"
"2223",0,0.0121951219512195,0.6,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0.25,1,0.75,0,0.5,"1250000142","AAPI","0","0","NY","1","1"
"2224",1,0.585365853658537,1,1,0.5,0,1,0,0,0,0,1,1,NA,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0.666666666666667,0.666666666666667,1,1,1,1,0.75,1,1,0.75,0,0.75,"1250000177","AAPI","0","0","CA","1","1"
"2225",0,0.439024390243902,0.8,1,0.666666666666667,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0.75,"1200000032","AAPI","1","0","MI","1","1"
"2226",1,0.463414634146341,0.8,0,0.166666666666667,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.666666666666667,1,1,1,1,1,0.75,1,1,1,0.75,NA,"1200000192","AAPI","1","0","NY","1","1"
"2227",1,0.0365853658536585,0.8,0,0.166666666666667,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,NA,1,NA,0,1,"1250000206","AAPI","0","0","NY","1","1"
"2228",1,NA,0.4,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0.5,0.5,0.75,0.75,0.25,0.75,"1250000425","AAPI","0","0","NY","1","1"
"2229",1,0.560975609756098,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.333333333333333,NA,0,0,0,1,NA,1,0.25,0.75,0.25,"1250000352","AAPI","0","1","NY","1","1"
"2230",1,0,0.6,0,0.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,"1250000117","AAPI","1","0","NY","0","1"
"2231",1,0.48780487804878,0.8,1,0.166666666666667,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,"1200000248","AAPI","0","0","TX","1","1"
"2232",0,0.0365853658536585,0.6,0,0.166666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.666666666666667,1,1,1,0,1,0.75,0.5,0.25,0.75,1,1,"1250000125","AAPI","1","0","NY","0","1"
"2233",0,0.292682926829268,0.8,1,0.166666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,"1300000265","AAPI","1","0","WA","1","1"
